,Title,Area of flat,Room,Floor,year,Price
48,"2 kambarių butas Palangoje, Malūno g. +2",34.00,2,2/4,2018,128 000 € (3 765 €/m²)
49,"1 kambario butas Vilniuje, Karoliniškėse, Dariaus Gerbutavičiaus g. +2",33.00,1,5/9,1974,54 990 € (1 666 €/m²)
50,"1 kambario butas Vilniuje, Žemieji Paneriai, Vaduvos g. +2",40.02,1,1/5,1990,52 500 € (1 312 €/m²)
51,"4 kambarių butas Kauno rajono sav., Užliedžiuose, Plento g. +2",65.00,4,1/1,2021,71 500 € (1 100 €/m²)
52,"3 kambarių butas Šiauliuose, Gytaruose, K. Korsako g. +2",81.65,3,1/5,1989,73 000 € (894 €/m²)
53,"2 kambarių butas Klaipėdoje, Žvejybos uostas, Minijos g. +2",48.00,2,5/5,,56 000 € (1 167 €/m²)
54,"1 kambario butas Klaipėdoje, Sportininkuose, Pušyno g. +2",30.00,1,3/4,1968,37 500 € (1 250 €/m²)
55,"3 kambarių butas Klaipėdoje, Naujakiemyje, Naujakiemio g. +2",64.00,3,3/5,1972,70 000 € (1 094 €/m²)
56,"1 kambario butas Klaipėdoje, Centre, J. Karoso g. +2",37.00,1,2/3,1957,67 770 € (1 832 €/m²)
57,"2 kambarių butas Klaipėdoje, Vėtrungėje, Kuosų g. +2",64.00,2,7/35,2008,95 000 € (1 484 €/m²)
58,"3 kambarių butas Panevėžyje, Centre +2",47.76,3,3,1965,34 000 € (712 €/m²)
59,"2 kambarių butas Panevėžio rajono sav., Liūdynėje, Ramioji g. +2",48.44,2,2/3,1983,26 500 € (547 €/m²)
60,"4 kambarių butas Klaipėdoje, Centre, J. Karoso g. +2",170.00,4,3/3,1928,159 000 € (935 €/m²)
61,"2 kambarių butas Klaipėdoje, Vingio, Vingio g. +2",48.00,2,7/9,1983,64 000 € (1 333 €/m²)
62,"3 kambarių butas Kaune, Šilainiuose, Naujakurių g. +2",55.58,3,2/9,2022,71 500 € (1 286 €/m²)
63,"2 kambarių butas Klaipėdoje, Žardininkuose, I. Simonaitytės g. +2",50.00,2,6/9,1979,53 000 € (1 060 €/m²)
64,"2 kambarių butas Vilniuje, Žemieji Paneriai, Vaduvos g. +1",36.98,2,5/6,1987,49 900 € (1 349 €/m²)
65,"3 kambarių butas Klaipėdoje, Centre, J. Zauerveino g. +1",52.58,3,2/2,1990,93 000 € (1 769 €/m²)
66,"3 kambarių butas Vilniuje, Šeškinėje, Šeškinės g. +1",67.06,3,1/5,1982,73 000 € (1 089 €/m²)
67,"3 kambarių butas Vilniaus rajono sav., Vėliučionyse, Gandrų g. +1",62.00,3,1/2,1965,88 000 € (1 419 €/m²)
68,"2 kambarių butas Klaipėdoje, Centre, Bijūnų g. +1",49.50,2,1/4,2020,95 000 € (1 919 €/m²)
69,"1 kambario butas Klaipėdoje, Debrecene, Taikos pr. +1",36.90,1,9/13,1975,70 000 € (1 897 €/m²)
